name;shortname;ix;n;rgb
Aud;Aud;[4,31];2;[255,0,255,255]
CO;CO;[10,12,17,20,21,36,38,42,44,45,77,78];12;[128,0,128,255]
DAN;DAN;[15,23,25,41,47,49,61,70];8;[0,110,255,255]
DMN;DMN;[1,16,18,26,27,28,50,52,53,55,63,69,71];13;[255,0,0,255]
FP;FP;[3,30,51,62,64,65,72];7;[0,192,0,255]
MTL;MTL;[8,35,75,76];4;[192,160,0,255]
PMN;PMN;[6,24,33,48];4;[192,192,192,255]
PON;PON;[7,9,34,54];4;[0,255,255,255]
Sal;Sal;[11,22,37,46,58,59];6;[0,0,0,255]
SMd;SMd;[13,39,60,66,68,73];6;[0,0,0,255]
SMl;SMl;[14,40,67,74];4;[255,0,128,255]
Tpole;Tpole;[5,32,56,57];4;[128,0,128,255]
VAN;VAN;[19,43];2;[0,0,128,255]
Vis;Vis;[2,29,79,80];4;[0,0,255,255]
name,shortname,ix,n,rgb
name,shortname,ix,n,rgb
